园博园:  常码头--园博园北--
军运村:  黄家湖地铁小镇--
黄家湖地铁小镇:  军运村--野芷湖--
马湖:  野芷湖--省农科院--
省农科院:  马湖--文昌路--
文昌路:  省农科院--马房山--
马房山:  文昌路--街道口--
小洪山:  街道口--洪山路--
洪山路:  小洪山--水果湖--
水果湖:  洪山路--中南医院--
中南医院:  水果湖--省博物馆--
省博物馆:  中南医院--梨园--
梨园:  省博物馆--岳家嘴--
汪家墩:  岳家嘴--徐东--
徐东:  汪家墩--徐家棚--
徐家棚:
竹叶山:  赵家条--中一路--
中一路:  竹叶山--塔子湖--
塔子湖:  中一路--宏图大道--
金潭路:  宏图大道--
左岭:  未来三路--
未来三路:  左岭--未来一路--
未来一路:  未来三路--长岭山--
长岭山:  未来一路--光谷七路--
光谷七路:  长岭山--豹澥--
豹澥:  光谷七路--光谷六路--
光谷六路:  豹澥--光谷五路--
光谷五路:  光谷六路--光谷四路--
光谷四路:  光谷五路--光谷生物园--
光谷生物园:  光谷四路--光谷同济医院--
光谷同济医院:  光谷生物园--湖口--
湖口:  光谷同济医院--光谷火车站--
金台:  施岗--
施岗:  金台--阳逻开发区--
阳逻开发区:  施岗--阳逻--
阳逻:  阳逻开发区--武生院--
武生院:  阳逻--军民村--
军民村:  武生院--沙口--
沙口:  军民村--武湖--
武湖:  沙口--高车--
高车:  武湖--青龙--
青龙:  高车--谌家矶--
谌家矶:  青龙--朱家河--
朱家河:  谌家矶--幸福湾--
幸福湾:  朱家河--新荣客运站--
新荣客运站:  幸福湾--百步亭花园路--
百步亭花园路:  新荣客运站--后湖大道--
